"station_in","莘庄","外环路","莲花路","锦江乐园","上海南站","漕宝路","上海体育馆","徐家汇","衡山路","常熟路","陕西南路","黄陂南路","人民广场","新闸路","汉中路","上海火车站","中山北路","延长路","上海马戏城","汶水路","彭浦新村","共康路","通河新村","呼兰路","共富新村","宝安公路","友谊西路","浦东国际机场","海天三路","远东大道","凌空路","川沙","华夏东路","创新中路","唐镇","广兰路","金科路","张江高科","龙阳路","世纪公园","上海科技馆","世纪大道","东昌路","陆家嘴","南京东路","南京西路","静安寺","江苏路","中山公园","娄山关路","威宁路","北新泾","淞虹路","虹桥2号航站楼","虹桥火车站","石龙路","龙漕路","漕溪路","宜山路","虹桥路","延安西路","金沙江路","曹杨路","镇坪路","中潭路","宝山路","东宝兴路","虹口足球场","赤峰路","大柏树","江湾镇","殷高西路","长江南路","淞发路","张华浜","淞滨路","水产路","宝杨路","友谊路","铁力路","上海体育场","东安路","大木桥路","鲁班路","西藏南路","南浦大桥","塘桥","蓝村路","浦电路","浦东大道","杨树浦路","大连路","临平路","海伦路","春申路","银都路","颛桥","北桥","剑川路","东川路","金平路","华宁路","文井路","港城路","外高桥保税区北","航津路","外高桥保税区南","洲海路","五洲大道","东靖路","巨峰路","五莲路","博兴路","金桥路","云山路","德平路","北洋泾路","民生路","源深体育中心","上海儿童医学中心","临沂新村","高科西路","东明路","高青路","华夏西路","上南路","灵岩南路","花木路","芳华路","锦绣路","杨高南路","云台路","耀华路","长清路","后滩","龙华中路","肇嘉浜路","昌平路","长寿路","岚皋路","新村路","大华三路","行知路","大场镇","场中路","上大路","南陈路","上海大学","祁华路","顾村公园","刘行","潘广路","罗南新村","沈杜公路","联航路","江月路","浦江镇","芦恒路","凌兆新村","东方体育中心","杨思","成山路","中华艺术宫","陆家浜路","老西门","大世界","曲阜路","中兴路","西藏北路","曲阳路","四平路","鞍山新村","江浦路","黄兴路","延吉中路","黄兴公园","翔殷路","嫩江路","杨高中路","商城路","小南门","马当路","打浦桥","嘉善路","桂林路","漕河泾开发区","合川路","星中路","七宝","中春路","九亭","泗泾","佘山","洞泾","松江大学城","松江新城","松江体育中心","醉白池","新江湾城","殷高东路","三门路","江湾体育场","五角场","国权路","同济大学","邮电新村","四川北路","天潼路","豫园","新天地","上海图书馆","交通大学","宋园路","伊犁路","水城路","龙溪路","上海动物园","虹桥1号航站楼","龙柏新村","紫藤路","罗山路","御桥","浦三路","三林东","三林","龙耀路","云锦路","龙华","上海游泳馆","隆德路","枫桥路","真如","上海西站","李子园路","祁连山路","武威路","桃浦新村","南翔","马陆","嘉定新城","白银路","嘉定西","上海赛车场","昌吉东路","上海汽车城","安亭","兆丰路","光明路","金海路","申江路","金京路","杨高北路","东陆路","复兴岛","爱国路","隆昌路","宁国路","江浦公园","提篮桥","国际客运中心","金运路","金沙江西路","丰庄","祁连山南路","真北路","大渡河路","武宁路","滴水湖","临港大道","书院","惠南东","惠南","上海野生动物园","新场","航头东","鹤沙航城","周浦东","华夏中路","富锦路","徐泾东","江杨北路","闵行开发区","美兰湖","市光路","松江南站","航中路","嘉定北","花桥"
"颛桥",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,26,27,28,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,18,17,16,14,13,12,13,14,15,16,17,18,19,8,9,10,10,11,12,14,14,15,16,18,19,19,20,21,22,23,24,25,26,27,28,29,30,31,10,11,12,13,14,15,16,17,18,19,20,20,20,19,2,1,0,1,2,3,4,5,6,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,18,17,18,19,18,17,16,22,20,19,18,16,15,14,13,12,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,21,20,19,18,17,16,15,16,16,15,15,15,16,16,17,18,20,21,22,23,24,25,26,27,28,19,17,16,14,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,24,28,27,26,25,24,23,22,20,18,17,16,14,12,11,12,13,14,15,16,17,16,17,20,19,18,17,16,14,13,12,11,13,15,16,17,18,19,20,21,22,23,24,25,26,25,26,27,28,29,30,31,30,29,28,26,25,24,23,22,21,19,18,20,19,18,17,16,15,14,30,29,28,27,26,25,24,23,22,21,21,29,20,32,7,30,29,25,18,27,31
"北桥",4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,20,21,22,23,24,25,26,27,28,29,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,19,18,17,15,14,13,14,15,16,17,18,19,20,9,10,11,11,12,13,15,15,16,17,19,20,20,21,22,23,24,25,26,27,28,29,30,31,32,11,12,13,14,15,16,17,18,19,20,21,21,21,20,3,2,1,0,1,2,3,4,5,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,19,18,19,20,19,18,17,23,21,20,19,17,16,15,14,13,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,22,21,20,19,18,17,16,17,17,16,16,16,17,17,18,19,21,22,23,24,25,26,27,28,29,20,18,17,15,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,29,28,27,26,25,24,23,21,19,18,17,15,13,12,13,14,15,16,17,18,17,18,21,20,19,18,17,15,14,13,12,14,16,17,18,19,20,21,22,23,24,25,26,27,26,27,28,29,30,31,32,31,30,29,27,26,25,24,23,22,20,19,21,20,19,18,17,16,15,31,30,29,28,27,26,25,24,23,22,22,30,21,33,6,31,30,26,19,28,32
"剑川路",5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,20,21,22,23,24,25,26,27,28,29,30,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,19,18,16,15,14,15,16,17,18,19,20,21,10,11,12,12,13,14,16,16,17,18,20,21,21,22,23,24,25,26,27,28,29,30,31,32,33,12,13,14,15,16,17,18,19,20,21,22,22,22,21,4,3,2,1,0,1,2,3,4,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,20,19,20,21,20,19,18,24,22,21,20,18,17,16,15,14,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,23,22,21,20,19,18,17,18,18,17,17,17,18,18,19,20,22,23,24,25,26,27,28,29,30,21,19,18,16,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30,29,28,27,26,25,24,22,20,19,18,16,14,13,14,15,16,17,18,19,18,19,22,21,20,19,18,16,15,14,13,15,17,18,19,20,21,22,23,24,25,26,27,28,27,28,29,30,31,32,33,32,31,30,28,27,26,25,24,23,21,20,22,21,20,19,18,17,16,32,31,30,29,28,27,26,25,24,23,23,31,22,34,5,32,31,27,20,29,33
"东川路",6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23,24,25,26,27,28,29,30,31,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,21,20,19,17,16,15,16,17,18,19,20,21,22,11,12,13,13,14,15,17,17,18,19,21,22,22,23,24,25,26,27,28,29,30,31,32,33,34,13,14,15,16,17,18,19,20,21,22,23,23,23,22,5,4,3,2,1,0,1,2,3,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,21,20,21,22,21,20,19,25,23,22,21,19,18,17,16,15,14,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,24,23,22,21,20,19,18,19,19,18,18,18,19,19,20,21,23,24,25,26,27,28,29,30,31,22,20,19,17,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,27,31,30,29,28,27,26,25,23,21,20,19,17,15,14,15,16,17,18,19,20,19,20,23,22,21,20,19,17,16,15,14,16,18,19,20,21,22,23,24,25,26,27,28,29,28,29,30,31,32,33,34,33,32,31,29,28,27,26,25,24,22,21,23,22,21,20,19,18,17,33,32,31,30,29,28,27,26,25,24,24,32,23,35,4,33,32,28,21,30,34
"金平路",7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,22,23,24,25,26,27,28,29,30,31,32,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,22,21,20,18,17,16,17,18,19,20,21,22,23,12,13,14,14,15,16,18,18,19,20,22,23,23,24,25,26,27,28,29,30,31,32,33,34,35,14,15,16,17,18,19,20,21,22,23,24,24,24,23,6,5,4,3,2,1,0,1,2,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,22,21,22,23,22,21,20,26,24,23,22,20,19,18,17,16,15,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,25,24,23,22,21,20,19,20,20,19,19,19,20,20,21,22,24,25,26,27,28,29,30,31,32,23,21,20,18,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,28,32,31,30,29,28,27,26,24,22,21,20,18,16,15,16,17,18,19,20,21,20,21,24,23,22,21,20,18,17,16,15,17,19,20,21,22,23,24,25,26,27,28,29,30,29,30,31,32,33,34,35,34,33,32,30,29,28,27,26,25,23,22,24,23,22,21,20,19,18,34,33,32,31,30,29,28,27,26,25,25,33,24,36,3,34,33,29,22,31,35
"华宁路",8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,26,27,28,29,30,31,32,33,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,23,22,21,19,18,17,18,19,20,21,22,23,24,13,14,15,15,16,17,19,19,20,21,23,24,24,25,26,27,28,29,30,31,32,33,34,35,36,15,16,17,18,19,20,21,22,23,24,25,25,25,24,7,6,5,4,3,2,1,0,1,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,23,22,23,24,23,22,21,27,25,24,23,21,20,19,18,17,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,26,25,24,23,22,21,20,21,21,20,20,20,21,21,22,23,25,26,27,28,29,30,31,32,33,24,22,21,19,18,17,16,17,18,19,20,21,22,23,24,25,26,27,28,29,33,32,31,30,29,28,27,25,23,22,21,19,17,16,17,18,19,20,21,22,21,22,25,24,23,22,21,19,18,17,16,18,20,21,22,23,24,25,26,27,28,29,30,31,30,31,32,33,34,35,36,35,34,33,31,30,29,28,27,26,24,23,25,24,23,22,21,20,19,35,34,33,32,31,30,29,28,27,26,26,34,25,37,2,35,34,30,23,32,36
"文井路",9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,23,24,25,26,27,28,29,30,31,32,33,34,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,24,23,22,20,19,18,19,20,21,22,23,24,25,14,15,16,16,17,18,20,20,21,22,24,25,25,26,27,28,29,30,31,32,33,34,35,36,37,16,17,18,19,20,21,22,23,24,25,26,26,26,25,8,7,6,5,4,3,2,1,0,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,24,23,24,25,24,23,22,28,26,25,24,22,21,20,19,18,17,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,27,26,25,24,23,22,21,22,22,21,21,21,22,22,23,24,26,27,28,29,30,31,32,33,34,25,23,22,20,19,18,17,18,19,20,21,22,23,24,25,26,27,28,29,30,34,33,32,31,30,29,28,26,24,23,22,20,18,17,18,19,20,21,22,23,22,23,26,25,24,23,22,20,19,18,17,19,21,22,23,24,25,26,27,28,29,30,31,32,31,32,33,34,35,36,37,36,35,34,32,31,30,29,28,27,25,24,26,25,24,23,22,21,20,36,35,34,33,32,31,30,29,28,27,27,35,26,38,1,36,35,31,24,33,37
"港城路",31,30,29,28,27,26,25,24,23,22,21,20,19,20,19,18,19,20,21,22,23,24,25,26,27,28,29,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,17,18,18,20,21,22,23,24,25,26,27,28,29,28,27,26,25,24,24,22,21,20,19,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,24,23,22,21,20,20,19,18,17,16,15,14,15,16,32,33,34,35,36,37,38,39,40,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,19,20,21,22,23,24,25,26,20,20,21,22,22,22,23,24,24,23,22,21,21,22,23,24,25,26,27,28,29,30,31,32,33,34,31,30,29,28,27,26,25,24,23,21,19,20,20,18,19,20,19,18,19,20,21,22,23,24,25,17,17,18,20,21,22,26,27,28,29,30,31,32,33,34,35,36,37,38,39,25,24,23,22,21,20,19,17,17,17,19,21,22,23,25,26,27,28,29,29,29,30,21,22,23,24,25,26,27,26,25,22,22,23,24,25,26,27,28,29,30,31,32,33,32,33,34,35,36,37,11,10,9,8,8,9,10,11,12,13,15,16,28,27,26,25,24,23,22,31,30,29,28,27,26,25,24,23,22,20,30,30,32,41,35,26,40,31,34,38
"外高桥保税区北",30,29,28,27,26,25,24,23,22,21,20,19,18,19,18,17,18,19,20,21,22,23,24,25,26,27,28,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,16,17,17,19,20,21,22,23,24,25,26,27,28,27,26,25,24,23,23,21,20,19,18,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,23,22,21,20,19,19,18,17,16,15,14,13,14,15,31,32,33,34,35,36,37,38,39,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,18,19,20,21,22,23,24,25,19,19,20,21,21,21,22,23,23,22,21,20,20,21,22,23,24,25,26,27,28,29,30,31,32,33,30,29,28,27,26,25,24,23,22,20,18,19,19,17,18,19,18,17,18,19,20,21,22,23,24,16,16,17,19,20,21,25,26,27,28,29,30,31,32,33,34,35,36,37,38,24,23,22,21,20,19,18,16,16,16,18,20,21,22,24,25,26,27,28,28,28,29,20,21,22,23,24,25,26,25,24,21,21,22,23,24,25,26,27,28,29,30,31,32,31,32,33,34,35,36,10,9,8,7,7,8,9,10,11,12,14,15,27,26,25,24,23,22,21,30,29,28,27,26,25,24,23,22,21,19,29,29,31,40,34,25,39,30,33,37
"航津路",29,28,27,26,25,24,23,22,21,20,19,18,17,18,17,16,17,18,19,20,21,22,23,24,25,26,27,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,15,16,16,18,19,20,21,22,23,24,25,26,27,26,25,24,23,22,22,20,19,18,17,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,22,21,20,19,18,18,17,16,15,14,13,12,13,14,30,31,32,33,34,35,36,37,38,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,17,18,19,20,21,22,23,24,18,18,19,20,20,20,21,22,22,21,20,19,19,20,21,22,23,24,25,26,27,28,29,30,31,32,29,28,27,26,25,24,23,22,21,19,17,18,18,16,17,18,17,16,17,18,19,20,21,22,23,15,15,16,18,19,20,24,25,26,27,28,29,30,31,32,33,34,35,36,37,23,22,21,20,19,18,17,15,15,15,17,19,20,21,23,24,25,26,27,27,27,28,19,20,21,22,23,24,25,24,23,20,20,21,22,23,24,25,26,27,28,29,30,31,30,31,32,33,34,35,9,8,7,6,6,7,8,9,10,11,13,14,26,25,24,23,22,21,20,29,28,27,26,25,24,23,22,21,20,18,28,28,30,39,33,24,38,29,32,36
"外高桥保税区南",28,27,26,25,24,23,22,21,20,19,18,17,16,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,14,15,15,17,18,19,20,21,22,23,24,25,26,25,24,23,22,21,21,19,18,17,16,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,21,20,19,18,17,17,16,15,14,13,12,11,12,13,29,30,31,32,33,34,35,36,37,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,20,21,22,23,17,17,18,19,19,19,20,21,21,20,19,18,18,19,20,21,22,23,24,25,26,27,28,29,30,31,28,27,26,25,24,23,22,21,20,18,16,17,17,15,16,17,16,15,16,17,18,19,20,21,22,14,14,15,17,18,19,23,24,25,26,27,28,29,30,31,32,33,34,35,36,22,21,20,19,18,17,16,14,14,14,16,18,19,20,22,23,24,25,26,26,26,27,18,19,20,21,22,23,24,23,22,19,19,20,21,22,23,24,25,26,27,28,29,30,29,30,31,32,33,34,8,7,6,5,5,6,7,8,9,10,12,13,25,24,23,22,21,20,19,28,27,26,25,24,23,22,21,20,19,17,27,27,29,38,32,23,37,28,31,35
"洲海路",27,26,25,24,23,22,21,20,19,18,17,16,15,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,13,14,14,16,17,18,19,20,21,22,23,24,25,24,23,22,21,20,20,18,17,16,15,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,20,19,18,17,16,16,15,14,13,12,11,10,11,12,28,29,30,31,32,33,34,35,36,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,15,16,17,18,19,20,21,22,16,16,17,18,18,18,19,20,20,19,18,17,17,18,19,20,21,22,23,24,25,26,27,28,29,30,27,26,25,24,23,22,21,20,19,17,15,16,16,14,15,16,15,14,15,16,17,18,19,20,21,13,13,14,16,17,18,22,23,24,25,26,27,28,29,30,31,32,33,34,35,21,20,19,18,17,16,15,13,13,13,15,17,18,19,21,22,23,24,25,25,25,26,17,18,19,20,21,22,23,22,21,18,18,19,20,21,22,23,24,25,26,27,28,29,28,29,30,31,32,33,7,6,5,4,4,5,6,7,8,9,11,12,24,23,22,21,20,19,18,27,26,25,24,23,22,21,20,19,18,16,26,26,28,37,31,22,36,27,30,34
"五洲大道",26,25,24,23,22,21,20,19,18,17,16,15,14,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,12,13,13,15,16,17,18,19,20,21,22,23,24,23,22,21,20,19,19,17,16,15,14,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,19,18,17,16,15,15,14,13,12,11,10,9,10,11,27,28,29,30,31,32,33,34,35,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,14,15,16,17,18,19,20,21,15,15,16,17,17,17,18,19,19,18,17,16,16,17,18,19,20,21,22,23,24,25,26,27,28,29,26,25,24,23,22,21,20,19,18,16,14,15,15,13,14,15,14,13,14,15,16,17,18,19,20,12,12,13,15,16,17,21,22,23,24,25,26,27,28,29,30,31,32,33,34,20,19,18,17,16,15,14,12,12,12,14,16,17,18,20,21,22,23,24,24,24,25,16,17,18,19,20,21,22,21,20,17,17,18,19,20,21,22,23,24,25,26,27,28,27,28,29,30,31,32,6,5,4,3,3,4,5,6,7,8,10,11,23,22,21,20,19,18,17,26,25,24,23,22,21,20,19,18,17,15,25,25,27,36,30,21,35,26,29,33
"东靖路",25,24,23,22,21,20,19,18,17,16,15,14,13,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,12,14,15,16,17,18,19,20,21,22,23,22,21,20,19,18,18,16,15,14,13,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,18,17,16,15,14,14,13,12,11,10,9,8,9,10,26,27,28,29,30,31,32,33,34,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,13,14,15,16,17,18,19,20,14,14,15,16,16,16,17,18,18,17,16,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,25,24,23,22,21,20,19,18,17,15,13,14,14,12,13,14,13,12,13,14,15,16,17,18,19,11,11,12,14,15,16,20,21,22,23,24,25,26,27,28,29,30,31,32,33,19,18,17,16,15,14,13,11,11,11,13,15,16,17,19,20,21,22,23,23,23,24,15,16,17,18,19,20,21,20,19,16,16,17,18,19,20,21,22,23,24,25,26,27,26,27,28,29,30,31,5,4,3,2,2,3,4,5,6,7,9,10,22,21,20,19,18,17,16,25,24,23,22,21,20,19,18,17,16,14,24,24,26,35,29,20,34,25,28,32
"巨峰路",24,23,22,21,20,19,18,17,16,15,14,13,12,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,10,11,11,13,14,15,16,17,18,19,20,21,22,21,20,19,18,17,17,15,14,13,12,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,17,16,15,14,13,13,12,11,10,9,8,7,8,9,25,26,27,28,29,30,31,32,33,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,12,13,14,15,16,17,18,19,13,13,14,15,15,15,16,17,17,16,15,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,24,23,22,21,20,19,18,17,16,14,12,13,13,11,12,13,12,11,12,13,14,15,16,17,18,10,10,11,13,14,15,19,20,21,22,23,24,25,26,27,28,29,30,31,32,18,17,16,15,14,13,12,10,10,10,12,14,15,16,18,19,20,21,22,22,22,23,14,15,16,17,18,19,20,19,18,15,15,16,17,18,19,20,21,22,23,24,25,26,25,26,27,28,29,30,4,3,2,1,1,2,3,4,5,6,8,9,21,20,19,18,17,16,15,24,23,22,21,20,19,18,17,16,15,13,23,23,25,34,28,19,33,24,27,31
"五莲路",23,22,21,20,19,18,17,16,16,15,14,13,12,13,13,12,13,14,15,16,17,18,19,20,21,22,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,9,10,11,13,14,15,16,17,18,19,20,21,22,20,19,18,17,17,17,16,15,14,13,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,16,15,14,13,12,12,11,10,9,9,9,8,9,10,24,25,26,27,28,29,30,31,32,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,11,12,13,14,15,16,17,18,12,12,13,14,14,14,15,16,16,15,15,15,15,16,17,18,19,20,21,22,23,24,25,26,27,28,23,22,21,20,19,18,17,16,15,13,11,12,13,12,13,14,13,12,13,14,15,16,17,18,19,9,9,10,12,13,14,18,19,20,21,22,23,24,25,26,27,28,29,30,31,19,18,17,16,15,14,13,11,11,11,12,13,15,16,18,19,20,21,22,22,22,23,13,14,15,16,17,18,19,18,17,16,16,17,18,19,20,21,22,23,24,25,26,27,26,27,28,29,30,31,5,4,3,2,2,3,4,5,6,7,9,10,22,21,20,19,18,17,16,23,22,21,20,19,18,17,16,15,14,12,24,23,26,33,29,20,32,24,28,32
"博兴路",22,21,20,19,18,17,16,15,15,14,13,12,11,12,13,13,14,15,16,17,18,19,20,21,22,23,24,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,8,9,10,12,13,14,15,16,17,18,19,20,21,19,18,17,16,16,16,16,16,15,14,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,15,14,13,12,11,11,10,9,8,8,9,9,10,11,23,24,25,26,27,28,29,30,31,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,10,11,12,13,14,15,16,17,11,11,12,13,13,13,14,15,15,14,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,22,21,20,19,18,17,16,15,14,12,10,11,12,12,13,14,14,13,14,15,16,17,18,19,20,8,8,9,11,12,13,17,18,19,20,21,22,23,24,25,26,27,28,29,30,20,19,18,17,16,15,14,12,12,11,11,12,14,15,17,18,19,20,21,21,21,22,12,13,14,15,16,17,18,17,16,15,17,18,19,20,21,22,23,24,25,26,27,28,27,28,29,30,31,32,6,5,4,3,3,4,5,6,7,8,10,11,22,21,20,19,18,17,16,22,21,20,19,18,17,16,15,14,13,11,25,22,27,32,30,21,31,23,29,33
"金桥路",21,20,19,18,17,16,15,14,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,8,9,11,12,13,14,15,16,17,18,19,20,18,17,16,15,15,15,15,15,15,14,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,14,13,12,11,10,10,9,8,7,7,8,9,10,11,22,23,24,25,26,27,28,29,30,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,9,10,11,12,13,14,15,16,10,10,11,12,12,12,13,14,14,13,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,21,20,19,18,17,16,15,14,13,11,9,10,11,11,12,13,14,13,14,15,16,17,18,19,20,7,7,8,10,11,12,16,17,18,19,20,21,22,23,24,25,26,27,28,29,20,19,18,17,16,15,14,12,11,10,10,11,13,14,16,17,18,19,20,20,20,21,11,12,13,14,15,16,17,16,15,14,16,17,18,19,20,21,22,23,24,25,26,27,26,27,28,29,30,31,7,6,5,4,4,5,6,7,8,9,10,11,21,20,19,18,17,16,15,21,20,19,18,17,16,15,14,13,12,10,25,21,27,31,30,21,30,22,28,32
"云山路",20,19,18,17,16,15,14,13,13,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,8,10,11,12,13,14,15,16,17,18,19,17,16,15,14,14,14,14,14,14,13,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,13,12,11,10,9,9,8,7,6,6,7,8,9,10,21,22,23,24,25,26,27,28,29,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,8,9,10,11,12,13,14,15,9,9,10,11,11,11,12,13,13,12,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,20,19,18,17,16,15,14,13,12,10,8,9,10,10,11,12,13,12,13,14,15,16,17,18,19,6,6,7,9,10,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,19,18,17,16,15,14,13,11,10,9,9,10,12,13,15,16,17,18,19,19,19,20,10,11,12,13,14,15,16,15,14,13,15,16,17,18,19,20,21,22,23,24,25,26,25,26,27,28,29,30,8,7,6,5,5,6,7,8,9,9,9,10,20,19,18,17,16,15,14,20,19,18,17,16,15,14,13,12,11,9,24,20,26,30,29,20,29,21,27,31
"德平路",19,18,17,16,15,14,13,12,12,11,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,5,6,7,9,10,11,12,13,14,15,16,17,18,16,15,14,13,13,13,13,13,13,12,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,12,11,10,9,8,8,7,6,5,5,6,7,8,9,20,21,22,23,24,25,26,27,28,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,7,8,9,10,11,12,13,14,8,8,9,10,10,10,11,12,12,11,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,19,18,17,16,15,14,13,12,11,9,7,8,9,9,10,11,12,11,12,13,14,15,16,17,18,5,5,6,8,9,10,14,15,16,17,18,19,20,21,22,23,24,25,26,27,18,17,16,15,14,13,12,10,9,8,8,9,11,12,14,15,16,17,18,18,18,19,9,10,11,12,13,14,15,14,13,12,14,15,16,17,18,19,20,21,22,23,24,25,24,25,26,27,28,29,9,8,7,6,6,7,8,9,9,8,8,9,19,18,17,16,15,14,13,19,18,17,16,15,14,13,12,11,10,8,23,19,25,29,28,19,28,20,26,30
"北洋泾路",18,17,16,15,14,13,12,11,11,10,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,4,5,6,8,9,10,11,12,13,14,15,16,17,15,14,13,12,12,12,12,12,12,11,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,11,10,9,8,7,7,6,5,4,4,5,6,7,8,19,20,21,22,23,24,25,26,27,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,6,7,8,9,10,11,12,13,7,7,8,9,9,9,10,11,11,10,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,18,17,16,15,14,13,12,11,10,8,6,7,8,8,9,10,11,10,11,12,13,14,15,16,17,4,4,5,7,8,9,13,14,15,16,17,18,19,20,21,22,23,24,25,26,17,16,15,14,13,12,11,9,8,7,7,8,10,11,13,14,15,16,17,17,17,18,8,9,10,11,12,13,14,13,12,11,13,14,15,16,17,18,19,20,21,22,23,24,23,24,25,26,27,28,10,9,8,7,7,8,9,9,8,7,7,8,18,17,16,15,14,13,12,18,17,16,15,14,13,12,11,10,9,7,22,18,24,28,27,18,27,19,25,29
