"station_in","station_out","value","shortest_paths"
"三林","临沂新村",22,7
"三林","临港大道",15,13
"三林","九亭",73,14
"三林","书院",13,12
"三林","云台路",4,5
"三林","云山路",16,14
"三林","云锦路",51,3
"三林","五莲路",6,17
"三林","五角场",40,18
"三林","交通大学",238,7
"三林","人民广场",266,10
"三林","伊犁路",146,10
"三林","佘山",22,16
"三林","兆丰路",22,25
"三林","光明路",21,26
"三林","共富新村",8,22
"三林","共康路",15,19
"三林","凌兆新村",35,2
"三林","凌空路",5,14
"三林","刘行",5,23
"三林","剑川路",2,18
"三林","北新泾",31,12
"三林","北桥",11,17
"三林","北洋泾路",9,12
"三林","华夏东路",1,12
"三林","华夏中路",3,5
"三林","华夏西路",2,4
"三林","华宁路",5,21
"三林","南京东路",102,10
"三林","南京西路",168,10
"三林","南浦大桥",32,7
"三林","南翔",91,18
"三林","博兴路",5,16
"三林","友谊西路",4,24
"三林","友谊路",5,25
"三林","合川路",86,10
"三林","同济大学",18,16
"三林","后滩",3,6
"三林","周浦东",29,5
"三林","呼兰路",12,21
"三林","唐镇",24,10
"三林","商城路",80,9
"三林","嘉善路",66,8
"三林","嘉定北",71,23
"三林","嘉定新城",27,20
"三林","嘉定西",33,22
"三林","四川北路",48,12
"三林","四平路",21,15
"三林","国权路",16,17
"三林","国际客运中心",17,12
"三林","场中路",5,17
"三林","塘桥",26,8
"三林","复兴岛",1,17
"三林","外环路",15,12
"三林","外高桥保税区北",2,24
"三林","外高桥保税区南",7,22
"三林","大世界",151,9
"三林","大华三路",8,14
"三林","大场镇",6,16
"三林","大木桥路",28,8
"三林","大柏树",23,16
"三林","大渡河路",58,11
"三林","大连路",16,12
"三林","天潼路",71,11
"三林","威宁路",48,11
"三林","娄山关路",151,10
"三林","嫩江路",7,22
"三林","宁国路",10,14
"三林","安亭",31,24
"三林","宋园路",63,9
"三林","宜山路",192,7
"三林","宝安公路",2,23
"三林","宝山路",12,14
"三林","宝杨路",1,24
"三林","富锦路",14,25
"三林","小南门",23,8
"三林","岚皋路",6,12
"三林","川沙",11,13
"三林","巨峰路",12,18
"三林","市光路",10,23
"三林","常熟路",34,8
"三林","广兰路",45,9
"三林","延吉中路",9,19
"三林","延安西路",36,9
"三林","延长路",35,15
"三林","张华浜",1,21
"三林","张江高科",62,7
"三林","彭浦新村",27,18
"三林","徐家汇",624,6
"三林","徐泾东",96,16
"三林","御桥",179,3
"三林","德平路",13,13
"三林","惠南",107,10
"三林","惠南东",6,11
"三林","成山路",6,3
"三林","打浦桥",91,9
"三林","提篮桥",5,13
"三林","文井路",2,22
"三林","新场",73,8
"三林","新天地",34,9
"三林","新村路",12,13
"三林","新江湾城",2,22
"三林","新闸路",19,11
"三林","昌吉东路",3,22
"三林","昌平路",30,10
"三林","星中路",26,11
"三林","春申路",6,14
"三林","曲阜路",50,11
"三林","曲阳路",16,15
"三林","曹杨路",194,10
"三林","李子园路",73,14
"三林","杨思",25,2
"三林","杨树浦路",13,11
"三林","杨高中路",14,10
"三林","杨高北路",3,19
"三林","杨高南路",9,7
"三林","松江体育中心",13,20
"三林","松江南站",6,22
"三林","松江大学城",39,18
"三林","松江新城",17,19
"三林","枫桥路",105,11
"三林","桂林路",183,8
"三林","桃浦新村",50,17
"三林","武威路",11,16
"三林","武宁路",32,10
"三林","殷高东路",3,21
"三林","殷高西路",16,18
"三林","民生路",11,11
"三林","水产路",10,23
"三林","水城路",49,11
"三林","汉中路",54,12
"三林","江月路",40,5
"三林","江杨北路",2,27
"三林","江浦公园",12,13
"三林","江浦路",9,17
"三林","江湾体育场",34,19
"三林","江湾镇",10,17
"三林","江苏路",441,8
"三林","汶水路",39,17
"三林","沈杜公路",76,7
"三林","泗泾",24,15
"三林","洞泾",19,17
"三林","洲海路",4,21
"三林","浦三路",137,2
"三林","浦东国际机场",9,17
"三林","浦东大道",19,10
"三林","浦江镇",35,4
"三林","浦电路",93,10
"三林","海伦路",21,13
"三林","海天三路",4,16
"三林","淞发路",2,20
"三林","淞滨路",9,22
"三林","淞虹路",152,13
"三林","港城路",4,25
"三林","源深体育中心",22,10
"三林","滴水湖",15,14
"三林","漕宝路",88,8
"三林","漕河泾开发区",336,9
"三林","漕溪路",2,8
"三林","潘广路",1,24
"三林","灵岩南路",19,2
"三林","爱国路",5,16
"三林","申江路",1,21
"三林","白银路",20,21
"三林","真北路",70,12
"三林","真如",37,12
"三林","石龙路",3,10
"三林","祁连山南路",33,13
"三林","祁连山路",65,15
"三林","紫藤路",9,14
"三林","罗南新村",4,25
"三林","罗山路",140,4
"三林","美兰湖",5,26
"三林","翔殷路",21,21
"三林","耀华路",23,4
"三林","老西门",66,8
"三林","联航路",29,6
"三林","肇嘉浜路",96,7
"三林","航中路",10,15
"三林","航头东",5,7
"三林","航津路",7,23
"三林","芦恒路",38,3
"三林","花木路",39,7
"三林","花桥",30,27
"三林","芳华路",6,7
"三林","莘庄",68,13
"三林","莲花路",54,11
"三林","蓝村路",31,9
"三林","虹口足球场",81,14
"三林","虹桥1号航站楼",20,14
"三林","虹桥2号航站楼",36,14
"三林","虹桥火车站",158,15
"三林","虹桥路",103,8
"三林","行知路",11,15
"三林","衡山路",24,7
"三林","西藏北路",44,13
"三林","西藏南路",88,6
"三林","豫园",68,9
"三林","赤峰路",10,15
"三林","远东大道",2,15
"三林","通河新村",19,20
"三林","邮电新村",7,14
"三林","醉白池",15,21
"三林","金京路",6,20
"三林","金平路",9,20
"三林","金桥路",18,15
"三林","金沙江西路",8,15
"三林","金沙江路",30,10
"三林","金海路",6,22
"三林","金科路",77,8
"三林","金运路",47,16
"三林","铁力路",2,26
"三林","银都路",8,15
"三林","锦江乐园",17,10
"三林","锦绣路",13,8
"三林","镇坪路",45,11
"三林","长寿路",80,11
"三林","长江南路",18,19
"三林","长清路",4,5
"三林","闵行开发区",1,23
"三林","陆家嘴",69,11
"三林","陆家浜路",75,7
"三林","陕西南路",114,9
"三林","隆德路",97,9
"三林","隆昌路",14,15
"三林","静安寺",191,9
"三林","鞍山新村",13,16
"三林","顾村公园",28,22
"三林","颛桥",10,16
"三林","马当路",31,8
"三林","马陆",26,19
"三林","高科西路",24,6
"三林","高青路",12,5
"三林","鲁班路",57,7
"三林","鹤沙航城",38,6
"三林","黄兴公园",8,20
"三林","黄兴路",9,18
"三林","黄陂南路",45,10
"三林","龙华",142,4
"三林","龙华中路",19,7
"三林","龙柏新村",34,13
"三林","龙溪路",17,12
"三林","龙漕路",2,9
"三林","龙耀路",59,2
"三林","龙阳路",43,6
"三林东","七宝",38,13
"三林东","三林",54,1
"三林东","三林东",65,0
"三林东","三门路",6,20
"三林东","上南路",1,4
"三林东","上大路",5,19
"三林东","上海体育场",1,9
"三林东","上海体育馆",18,8
"三林东","上海儿童医学中心",9,9
"三林东","上海动物园",18,14
"三林东","上海南站",10,10
"三林东","上海图书馆",34,9
"三林东","上海汽车城",7,24
"三林东","上海游泳馆",238,6
"三林东","上海火车站",77,14
"三林东","上海科技馆",3,7
"三林东","上海西站",36,14
"三林东","上海赛车场",38,22
"三林东","上海野生动物园",19,8
"三林东","上海马戏城",29,17
"三林东","世纪公园",13,6
"三林东","世纪大道",22,8
"三林东","东安路",16,9
"三林东","东宝兴路",6,15
"三林东","东川路",7,20
"三林东","东方体育中心",22,2
"三林东","东昌路",12,9
"三林东","东明路",1,7
"三林东","东靖路",3,18
"三林东","中兴路",33,13
"三林东","中华艺术宫",10,6
"三林东","中山公园",96,10
"三林东","中山北路",13,15
"三林东","中春路",9,14
"三林东","中潭路",18,13
"三林东","丰庄",9,15
"三林东","临平路",3,12
"三林东","临沂新村",6,8
"三林东","临港大道",18,12
"三林东","九亭",41,15
"三林东","书院",8,11
"三林东","云台路",3,6
